orden,total,fecha pago,status
BP_R18B0,5031118.0,2023-05-06,Completo
BP_ERV4X,11194169.03,2023-06-16,Completo
BP_8FB5B,1296006.1,2023-06-24,Proceso
BP_8207N,663314.0,2023-05-11,Completo
BP_2S65S,2507124.5,2023-04-22,Completo
BP_DG0BX,3184208.0,2023-05-28,Proceso
BP_Q2K8G,1783520.62,2023-01-13,Proceso
BP_R3FQS,2995353.72,2023-09-17,Completo
BP_20D5M,4063295.52,2023-08-08,Proceso
BP_4HXDH,4529928.5,2023-01-27,Completo
BP_2IQFG,1241993.25,2023-04-30,Completo
BP_UW8PA,1141243.72,2023-03-27,Completo
BP_Q17TP,2905715.06,2023-02-25,Proceso
BP_WOYTW,1123799.19,2023-01-14,Completo
BP_FM372,1883740.2,2023-10-06,Completo
BP_GQ2Q4,5494517.05,2023-05-25,Completo
BP_ZFS2E,5837851.63,2023-01-06,Completo
BP_X4RE2,609827.48,2023-07-31,Proceso
BP_XH98K,1443128.5,2023-07-05,Completo
BP_UE6MO,562473.16,2023-09-16,Proceso
BP_ENV4C,1620603.87,2023-05-24,Completo
BP_OP867,850065.89,2023-10-10,Completo
BP_VQ9EJ,2671317.0,2023-10-12,Completo
BP_9AVAT,11003881.0,2023-01-19,Completo
BP_P82V8,2890136.56,2023-08-01,Proceso
BP_84720,1312526.5,2023-09-18,Completo
BP_OLE9H,3031441.25,2023-01-31,Cancelado
BP_OPQOC,681780.5,2023-03-13,Cancelado
BP_2CWN2,1540729.14,2023-07-12,Completo
BP_DFRJZ,815428.0,2023-02-03,Completo
BP_M8GM9,1920254.5,2023-08-24,Proceso
BP_D9MQI,1271851.65,2023-04-30,Completo
BP_Y7A4U,9116064.51,2023-08-20,Proceso
BP_7VAAM,1135400.0,2023-02-26,Proceso
BP_QEKXJ,959919.17,2023-08-01,Completo
BP_HQU25,6332597.02,2023-01-15,Completo
BP_5A7G6,6856960.32,2023-02-28,Completo
BP_QY5WV,2565353.25,2023-06-01,Completo
BP_LLHB0,796444.29,2023-07-15,Completo
BP_NHPT7,2283599.5,2023-03-13,Completo
BP_VISGX,651280.57,2023-03-20,Completo
BP_HCX1A,1084932.28,2023-07-12,Completo
BP_FNWXI,395424.25,2023-06-10,Completo
BP_40LL3,961350.25,2023-10-12,Completo
BP_NNF27,1474395.0,2023-07-27,Proceso
BP_NV70K,917230.04,2023-09-10,Completo
BP_T6PAK,6972982.0,2023-07-13,Completo
BP_YBSH6,7782024.26,2023-03-20,Completo
BP_ZO2RI,3189951.0,2023-09-04,Completo
BP_R577R,1617218.96,2023-02-01,Completo
BP_YV53T,1897629.84,2023-02-14,Proceso
BP_LFP5C,3005500.5,2023-02-12,Completo
BP_4WQVF,2671984.03,2023-06-04,Completo
BP_04IJN,684506.5,2023-03-30,Completo
BP_A4C35,1287061.0,2023-06-21,Completo
BP_MGRSU,2504323.54,2023-04-27,Cancelado
BP_LWCAN,2429634.25,2023-05-20,Proceso
BP_5SPID,3234814.0,2023-10-24,Completo
BP_BYZPG,2400419.46,2023-02-14,Completo
BP_9XL17,8127975.22,2023-10-17,Cancelado
BP_Z9EMT,10932594.88,2023-10-29,Completo
BP_PNHQA,562594.14,2023-09-08,Completo
BP_U0C6W,1084200.0,2023-07-04,Completo
BP_1Y8LK,1478386.14,2023-06-23,Proceso
BP_LISZK,1464977.96,2023-02-17,Cancelado
BP_ZG5KU,1335922.5,2023-04-11,Completo
BP_ZRQL7,803022.5,2023-03-21,Proceso
BP_JH7H3,1107087.08,2023-09-07,Completo
BP_NFEZO,1055535.45,2023-09-16,Completo
BP_0ZLE1,3474916.86,2023-09-13,Proceso
BP_6WGQQ,1052674.75,2023-02-03,Completo
BP_IZ3W8,1749830.68,2023-08-28,Cancelado
BP_VXCYE,912574.4,2023-07-09,Proceso
BP_YKKBF,2620269.62,2023-07-17,Completo
BP_3ERW9,1337138.7,2023-10-25,Proceso
BP_FSRSO,886343.7,2023-04-04,Completo
BP_LORPC,1312369.08,2023-07-30,Completo
BP_VAH8L,777104.5,2023-08-17,Proceso
BP_6GJMT,1857557.7,2023-10-12,Completo
BP_EQNCV,8047194.65,2023-06-08,Completo
BP_BQDFP,9591780.75,2023-02-17,Cancelado
BP_WIRER,1921404.74,2023-05-29,Proceso
BP_G01TX,635490.5,2023-03-19,Completo
BP_UV0TN,1619205.04,2023-07-26,Proceso
BP_G7JZ9,641311.28,2023-07-28,Proceso
BP_TQPGB,1945962.0,2023-06-12,Completo
BP_LDP55,2840276.45,2023-06-02,Completo
BP_B934Y,2268082.43,2023-04-18,Completo
BP_1B734,1573621.5,2023-06-01,Proceso
BP_ZNVBV,2232750.5,2023-02-07,Completo
BP_XWIRE,10746468.04,2023-07-14,Proceso
BP_3942I,1532820.98,2023-05-07,Completo
BP_KQN4D,11376379.0,2023-08-18,Completo
BP_X6W1X,1298909.09,2023-01-01,Proceso
BP_AWALZ,3023096.5,2023-04-30,Completo
BP_NE1RD,956738.5,2023-04-29,Completo
BP_K9IYF,600373.0,2023-07-12,Completo
BP_2VFJ8,580616.88,2023-09-26,Cancelado
BP_08E22,9830642.54,2023-07-25,Completo
BP_061D3,1050149.18,2023-07-04,Completo
BP_XKVLZ,3805936.0,2023-05-11,Cancelado
BP_X3JDZ,1871444.82,2023-01-29,Completo
BP_UM10M,461652.5,2023-01-21,Completo
BP_50SX9,4256476.43,2023-09-20,Completo
BP_U7VS3,2045968.25,2023-06-18,Proceso
BP_O67WC,605051.91,2023-01-14,Proceso
BP_VQPAA,1528894.44,2023-07-23,Completo
BP_Z0778,1532767.0,2023-10-20,Proceso
BP_6R22U,6354878.63,2023-02-17,Completo
BP_V4Q9N,855331.5,2023-03-29,Completo
BP_KX5HW,983259.0,2023-02-12,Completo
BP_PMIJH,4227301.25,2023-06-13,Completo
BP_BDAD5,612002.5,2023-03-10,Completo
BP_RN0AE,801078.87,2023-02-21,Completo
BP_FADIC,2667465.0,2023-09-24,Completo
BP_NS7Y3,532467.5,2023-09-26,Cancelado
BP_JZ9UY,2126425.5,2023-03-14,Cancelado
BP_R1OJU,1784272.5,2023-01-04,Proceso
BP_4VV4G,1503555.23,2023-07-01,Completo
BP_N863O,1854397.78,2023-10-12,Proceso
BP_88MW0,1389353.0,2023-10-05,Completo
BP_AVLEI,2994452.0,2023-09-02,Completo
BP_7JEFW,1197805.5,2023-09-21,Completo
BP_C7MJ2,1256190.64,2023-09-23,Completo
BP_HYVZA,9225189.89,2023-01-09,Proceso
BP_M9A11,908548.87,2023-05-24,Completo
BP_HW1Z5,471570.64,2023-08-02,Proceso
BP_PCAOO,915400.18,2023-01-26,Completo
BP_BMS49,1440588.55,2023-10-29,Completo
BP_9VN47,2611553.75,2023-09-20,Completo
BP_4MPYI,1611406.75,2023-01-27,Completo
BP_WN937,702986.83,2023-01-21,Completo
BP_SIHUS,665704.25,2023-09-10,Completo
BP_TFEIL,10965011.0,2023-07-04,Completo
BP_CPWO8,516725.5,2023-07-08,Cancelado
BP_OWLB5,1107168.18,2023-02-03,Proceso
BP_TGOK4,850586.75,2023-07-24,Proceso
BP_9BXR5,1295720.02,2023-03-22,Completo
BP_2VDUL,1088097.87,2023-01-04,Completo
BP_UT87C,3250381.4,2023-01-01,Completo
BP_OLR7D,1085243.22,2023-03-14,Proceso
BP_ONVL3,4803516.52,2023-08-06,Completo
BP_KLZFM,1359896.25,2023-08-20,Completo
BP_M1X28,11396161.0,2023-10-05,Proceso
BP_9FYT2,2408713.88,2023-06-11,Completo
BP_J2MU2,1132777.68,2023-09-03,Proceso
BP_8X93W,1867397.68,2023-09-06,Completo
BP_6YQA3,536231.5,2023-08-29,Completo
BP_1ET9C,1677808.5,2023-01-30,Completo
BP_S3UXP,1914756.5,2023-10-26,Completo
BP_AMIHS,1635336.66,2023-03-19,Completo
BP_0K2FE,677299.01,2023-06-23,Completo
BP_YWSU8,1908233.74,2023-08-26,Proceso
BP_LLTEM,883527.45,2023-04-29,Completo
BP_0GJEB,508570.0,2023-08-06,Completo
BP_ADJV8,1021949.48,2023-10-04,Completo
BP_FXXO5,5711050.0,2023-04-22,Completo
BP_6UB3H,1934156.67,2023-09-13,Completo
BP_4U116,1184976.22,2023-04-10,Completo
BP_0B20I,607501.48,2023-02-04,Completo
BP_C7LTJ,2652777.42,2023-04-27,Completo
BP_HVOQ0,558029.36,2023-05-17,Cancelado
BP_R4YG3,5627667.05,2023-01-26,Completo
BP_FSDB4,2460126.0,2023-01-10,Completo
BP_K4FTY,1136511.4,2023-03-02,Proceso
BP_FPSXR,940546.02,2023-07-20,Completo
BP_AW4V9,2232490.25,2023-08-22,Completo
BP_3IZ57,824517.95,2023-04-20,Completo
BP_A2OXZ,765379.24,2023-02-14,Completo
BP_YZ7SL,4448733.5,2023-08-17,Completo
BP_3FK8N,2175474.4,2023-08-16,Completo
BP_XHKND,1391540.75,2023-04-22,Proceso
BP_Q61E7,979527.9,2023-07-27,Completo
BP_R916K,1507859.8,2023-03-05,Completo
BP_G9VUH,1285884.68,2023-07-11,Completo
BP_3UFN8,1160274.72,2023-07-13,Completo
BP_O2UXY,632231.16,2023-09-15,Completo
BP_NNXPI,4290482.89,2023-05-06,Completo
BP_OEPZB,961325.5,2023-08-20,Proceso
BP_BF2Y5,2423080.03,2023-03-13,Completo
BP_RJJF0,2101546.84,2023-03-15,Proceso
BP_XU25N,1560281.04,2023-06-14,Proceso
BP_7I810,2607802.42,2023-01-01,Completo
BP_1HAWK,8023041.0,2023-03-27,Proceso
BP_40AIO,4601878.5,2023-05-09,Completo
BP_V1YK3,997907.47,2023-10-19,Completo
BP_8HATZ,1785786.9,2023-08-04,Completo
BP_K1QKX,492124.38,2023-01-27,Completo
BP_0XPL8,2174044.04,2023-01-20,Proceso
BP_90KJE,2021325.98,2023-06-26,Proceso
BP_CBX9Q,1719300.0,2023-09-20,Cancelado
BP_7Y4UJ,1130892.02,2023-07-06,Completo
BP_C2UU2,1206536.8,2023-09-04,Cancelado
BP_Q0F20,2817522.83,2023-02-14,Cancelado
BP_KK1K5,830953.24,2023-10-27,Completo
BP_GLSTP,3009032.44,2023-08-02,Proceso
BP_V4JG1,1223763.0,2023-08-21,Completo
BP_RDFIG,706235.9,2023-05-15,Cancelado
BP_P0PBX,764332.55,2023-06-03,Completo
BP_MJZ1O,703887.0,2023-10-02,Cancelado
BP_FDW0P,2623935.38,2023-07-12,Completo
BP_Z589G,1137324.1,2023-06-24,Completo
BP_8TLFQ,1454550.23,2023-05-27,Completo
BP_4JU29,818657.0,2023-05-06,Completo
BP_ZFDNB,1142904.5,2023-01-20,Completo
BP_Z45UI,4278603.0,2023-06-30,Proceso
BP_TG6H0,7208979.75,2023-09-28,Proceso
BP_5CWOT,1891854.0,2023-10-29,Completo
BP_XYUSZ,525615.5,2023-08-03,Completo
BP_DN3O6,9895782.5,2023-06-02,Completo
BP_URVJI,1062887.72,2023-03-23,Completo
BP_QDB7P,8715970.0,2023-02-08,Completo
BP_IBT5O,2452280.27,2023-06-15,Completo
BP_PREQ6,7793461.5,2023-07-22,Completo
BP_6QL1T,2359580.17,2023-07-18,Completo
BP_NGEXR,2424273.04,2023-09-13,Completo
BP_ETLA0,4425474.09,2023-05-05,Completo
BP_8P8G5,1906597.75,2023-05-31,Completo
BP_L7TSL,8694402.18,2023-04-01,Completo
BP_JNOYX,7532301.14,2023-07-14,Completo
BP_GZDJ9,1743695.81,2023-10-27,Proceso
BP_ORAJI,1120996.37,2023-08-23,Cancelado
BP_UYXFQ,2263957.91,2023-02-02,Completo
BP_L8YKD,705999.52,2023-04-13,Completo
BP_WW2DF,707857.52,2023-04-07,Proceso
BP_YS353,7138832.41,2023-03-22,Completo
BP_LOD44,6993771.5,2023-06-28,Completo
BP_K42VG,4742639.0,2023-06-26,Completo
BP_9EZ7P,1728100.5,2023-07-05,Completo
BP_FBZVJ,2213594.16,2023-04-11,Completo
BP_57F4O,1363963.0,2023-09-29,Cancelado
BP_5PSVW,1469388.38,2023-07-16,Completo
BP_YUX01,1424856.0,2023-08-01,Completo
BP_AN04N,9261091.5,2023-01-23,Proceso
BP_8BGQ9,1110206.5,2023-09-20,Proceso
BP_BESQR,2722244.92,2023-10-03,Completo
BP_P8U78,1239717.61,2023-10-13,Completo
BP_L5KHF,1159439.5,2023-08-10,Completo
BP_9URQV,1453176.9,2023-09-23,Completo
BP_TWCNH,1978682.5,2023-07-06,Completo
BP_HKQEB,1016146.68,2023-07-31,Completo
BP_WBOOQ,729892.0,2023-07-22,Completo
BP_QKAFS,723130.0,2023-06-17,Completo
BP_5MHUT,2622669.05,2023-05-02,Cancelado
BP_3QU5G,8169960.43,2023-04-23,Cancelado
BP_IT1KJ,1166103.14,2023-07-12,Completo
BP_L76UF,1358555.0,2023-06-04,Completo
BP_HV2T7,1268986.75,2023-03-12,Completo
BP_M6W8Q,2176079.5,2023-03-18,Cancelado
BP_17L3O,7367608.2,2023-08-20,Completo
BP_VRDYZ,1822733.17,2023-05-06,Cancelado
BP_NG7ER,1657621.25,2023-06-24,Completo
BP_V2CDS,506002.38,2023-04-03,Completo
BP_D9S77,6464096.5,2023-03-14,Completo
BP_W2C8S,723243.29,2023-10-22,Completo
BP_QTGZY,1086484.33,2023-06-21,Completo
BP_8VJVR,12524806.0,2023-05-06,Cancelado
BP_634LW,568195.5,2023-03-26,Completo
BP_2B3KZ,9240563.81,2023-07-28,Completo
BP_7G8VL,1325162.28,2023-08-04,Completo
BP_VJPGY,2317642.5,2023-04-10,Completo
BP_5VQ4T,7194797.74,2023-08-23,Proceso
BP_WNU5T,2234800.22,2023-08-13,Completo
BP_TYUI6,7224682.0,2023-09-15,Cancelado
BP_0CVPF,1434027.25,2023-06-05,Completo
BP_DT1NO,530403.0,2023-08-20,Completo
BP_GP61C,1228070.6,2023-02-04,Completo
BP_JXBY8,3150183.01,2023-09-23,Proceso
BP_M4DQD,4000991.77,2023-01-16,Completo
BP_8O9AP,2408446.0,2023-08-03,Proceso
BP_BC1I1,10776475.55,2023-07-11,Completo
BP_EY6NB,1631652.5,2023-09-08,Completo
BP_3PJN3,832261.18,2023-06-21,Proceso
BP_DQ8KR,1444164.5,2023-08-23,Completo
BP_REZ62,663685.12,2023-03-28,Completo
BP_DWJ9L,3157986.4,2023-08-04,Completo
BP_LIW5F,6107222.0,2023-09-02,Completo
BP_LXL92,1293358.0,2023-07-15,Proceso
BP_VSJTU,2305582.88,2023-06-02,Completo
BP_CREL9,752609.97,2023-01-11,Completo
BP_QUAWC,4663046.34,2023-08-25,Completo
BP_WPPC1,3683109.5,2023-10-17,Completo
BP_TVRT6,1546339.62,2023-06-29,Completo
BP_SFU3V,7763900.0,2023-08-27,Completo
BP_ZUG1W,1393939.0,2023-03-03,Completo
BP_31KVK,2705638.47,2023-08-30,Proceso
BP_1J1YL,1128318.09,2023-01-29,Cancelado
BP_VJ8RP,1711643.28,2023-01-17,Completo
BP_FZV30,5638040.34,2023-02-27,Completo
BP_WHA96,12038722.76,2023-10-14,Completo
BP_NBK54,1630860.5,2023-04-08,Completo
BP_U7AC2,3989506.5,2023-07-19,Completo
BP_K3I1C,962223.04,2023-07-27,Completo
BP_MI1EF,1472829.25,2023-10-18,Completo
BP_ANQII,9596018.0,2023-08-21,Completo
BP_ZM1B1,7077567.5,2023-03-31,Cancelado
BP_GSHBZ,720081.85,2023-07-18,Completo
BP_KGJDV,6142203.5,2023-06-26,Completo
BP_D119C,1358075.75,2023-02-09,Proceso
BP_HDTE3,4707705.67,2023-01-31,Cancelado
BP_86ZFM,6328356.5,2023-09-19,Completo
BP_35RWP,1589488.84,2023-08-17,Proceso
BP_SGO09,506053.0,2023-01-07,Completo
BP_4RW3S,5856973.0,2023-03-07,Completo
BP_SG4KM,14493107.5,2023-02-16,Completo
BP_WHVZE,8553562.5,2023-02-02,Completo
BP_D9H2I,1537957.22,2023-06-15,Completo
BP_P6DKH,5752627.6,2023-05-20,Completo
BP_AI24S,3833701.09,2023-08-20,Completo
BP_ODUTM,622333.0,2023-05-13,Cancelado
BP_70L2A,3997257.18,2023-02-20,Completo
BP_HIPQ4,781495.4,2023-07-19,Cancelado
BP_6TH1F,5680295.07,2023-08-20,Completo
BP_H51XT,2161655.37,2023-08-29,Completo
BP_J4K82,6478963.5,2023-01-29,Completo
BP_8MJET,3050466.18,2023-04-08,Cancelado
BP_L3QLP,1732761.32,2023-04-05,Completo
BP_RMP6O,1508721.0,2023-02-22,Cancelado
BP_CJ6AA,2266130.5,2023-09-12,Proceso
BP_WA0DZ,765761.82,2023-03-03,Cancelado
BP_356HK,3560749.64,2023-07-23,Completo
BP_9IRUS,1181451.14,2023-04-03,Proceso
BP_963D5,2625810.97,2023-02-12,Completo
BP_H05L6,624126.0,2023-09-01,Completo
BP_9AN0F,1389358.5,2023-02-19,Completo
BP_KVQAK,9796411.5,2023-01-23,Completo
BP_11R5I,1211350.0,2023-05-31,Completo
BP_MJAJT,2073278.0,2023-01-30,Proceso
BP_8HWP9,2035873.0,2023-06-15,Completo
BP_8YMVC,1719343.25,2023-05-16,Completo
BP_J5H8H,1929715.0,2023-02-18,Completo
BP_G3LPL,769210.21,2023-09-18,Completo
BP_XD6MC,10812659.0,2023-05-28,Completo
BP_ESIZ5,1590103.0,2023-04-25,Completo
BP_2UNC1,1702149.75,2023-08-08,Completo
BP_GJFW2,972733.7,2023-04-26,Completo
BP_DNCAQ,1294717.41,2023-03-28,Completo
BP_PLLWP,1731730.62,2023-04-04,Completo
BP_RERCQ,2135846.2,2023-04-14,Completo
BP_8E5WO,3560702.09,2023-04-12,Completo
BP_7QIPN,884831.5,2023-07-17,Completo
BP_V7NO7,631755.0,2023-02-26,Completo
BP_19G9N,7483444.54,2023-08-28,Proceso
BP_46OHQ,1720184.24,2023-08-24,Completo
BP_WHF88,978413.66,2023-05-26,Completo
BP_XERKB,3044616.25,2023-08-04,Proceso
BP_3GESX,650653.52,2023-09-08,Completo
BP_CBVE8,1416688.5,2023-07-04,Proceso
BP_GRF90,11242546.58,2023-04-18,Cancelado
BP_CWZ9N,1527725.0,2023-07-02,Completo
BP_66NCJ,766339.7,2023-04-22,Cancelado
BP_XPDBQ,1172214.15,2023-01-05,Proceso
BP_NTI62,1878986.0,2023-02-28,Cancelado
BP_61B0B,714399.28,2023-09-02,Proceso
BP_1JQGG,3968062.48,2023-07-02,Completo
BP_O26UD,9456256.5,2023-01-02,Completo
BP_APQC5,9578563.0,2023-06-01,Completo
BP_J4B3F,1838018.06,2023-07-22,Cancelado
BP_YWGZI,6701510.95,2023-01-10,Completo
BP_VFPMK,1507502.5,2023-05-28,Proceso
BP_LY1PS,1368824.71,2023-08-16,Completo
BP_20QM9,1341739.4,2023-05-10,Completo
BP_NWNLZ,1271007.25,2023-10-12,Completo
BP_DQLAR,8362048.36,2023-09-30,Proceso
BP_YH75V,2210537.82,2023-03-20,Cancelado
BP_XIYGM,1216965.09,2023-01-13,Completo
BP_F8FBG,5193379.2,2023-01-15,Completo
BP_JC9BC,1035995.03,2023-01-28,Completo
BP_KPO5M,793815.49,2023-07-16,Proceso
BP_Y8MPT,1177121.16,2023-08-12,Proceso
BP_55QC1,6837142.25,2023-09-03,Proceso
BP_TKZVW,602081.01,2023-05-22,Proceso
BP_XNU0W,1556929.5,2023-04-22,Completo
BP_4ETMX,806450.5,2023-06-23,Completo
BP_0WLX6,2010817.88,2023-06-05,Completo
BP_1KJ36,2790478.95,2023-03-08,Completo
BP_YM6DC,2660394.0,2023-09-14,Completo
BP_0OB4C,2070973.5,2023-07-31,Completo
BP_11O5F,1322833.5,2023-05-13,Proceso
BP_OWMFI,1946489.92,2023-04-23,Completo
BP_IHR95,1359661.76,2023-09-12,Completo
BP_SATTG,2333596.36,2023-01-01,Completo
BP_X4HV0,856770.53,2023-06-26,Completo
BP_5O7QB,1864452.5,2023-02-17,Completo
BP_3DXWJ,6201941.77,2023-10-07,Completo
BP_MD6LG,7348404.94,2023-10-17,Proceso
BP_EF1AU,2673094.62,2023-04-23,Completo
BP_61Z5G,875785.5,2023-07-22,Cancelado
BP_8H8AQ,1264199.92,2023-09-20,Proceso
BP_J0L3D,4594623.0,2023-08-17,Completo
BP_CLPPZ,426039.0,2023-05-10,Completo
BP_OS7VA,1846543.81,2023-09-24,Proceso
BP_RL45R,3093675.9,2023-02-12,Completo
BP_UDRX8,894462.0,2023-06-27,Completo
BP_I7GJL,9397692.5,2023-07-16,Completo
BP_N1DIQ,3038629.14,2023-04-22,Completo
BP_MZZU1,5116525.0,2023-09-09,Completo
BP_9KHVJ,7399228.5,2023-08-12,Proceso
BP_R0ZQD,476772.36,2023-08-02,Completo
BP_1B72Z,763794.0,2023-01-06,Completo
BP_SXEI7,788118.75,2023-09-03,Proceso
BP_SN3IT,1630991.94,2023-03-02,Completo
BP_M074D,2856568.44,2023-07-12,Proceso
BP_HQQC4,554124.24,2023-06-15,Proceso
BP_2F1BO,8970605.25,2023-10-17,Completo
BP_OLD4Z,1459873.5,2023-05-02,Completo
BP_1FTKW,1545414.5,2023-01-11,Cancelado
BP_PIWTK,2014428.62,2023-10-06,Completo
BP_RF3XP,18854418.16,2023-02-03,Completo
BP_DCDAR,6876693.9,2023-01-03,Cancelado
BP_INH1B,1197811.75,2023-04-03,Completo
BP_6HAKA,1006204.9,2023-05-19,Completo
BP_UVIZR,1528025.18,2023-04-03,Proceso
BP_9MNGA,1770363.82,2023-07-23,Completo
BP_I198A,1242908.95,2023-09-25,Cancelado
BP_2EH6N,1012716.5,2023-06-13,Completo
BP_NN1LK,9253090.5,2023-05-07,Cancelado
BP_S6C13,684343.88,2023-04-17,Completo
BP_IL6W2,720675.32,2023-02-17,Proceso
BP_RP1W4,1241642.08,2023-03-20,Completo
BP_58AXM,2037398.25,2023-02-22,Completo
BP_OD03R,1423388.69,2023-06-22,Proceso
BP_CW7CF,1576366.56,2023-01-28,Completo
BP_9BK5N,3045037.87,2023-01-15,Completo
BP_CID8C,6776549.04,2023-07-28,Completo
BP_787WB,816710.75,2023-08-17,Cancelado
BP_CUOHZ,5880264.4,2023-05-21,Completo
BP_MDQWX,3756481.0,2023-10-07,Completo
BP_X328M,2479699.5,2023-08-13,Proceso
BP_H1XMC,1782016.66,2023-10-22,Completo
BP_2W39V,357899.16,2023-01-14,Proceso
BP_WZ8SL,5513824.86,2023-05-30,Proceso
BP_B4WLU,4748579.42,2023-04-11,Completo
BP_WPOLY,1708640.27,2023-02-28,Completo
BP_X1GNQ,2857098.0,2023-06-25,Cancelado
BP_CGSZ8,9303289.06,2023-04-17,Cancelado
BP_1ZZEE,741791.8,2023-07-25,Cancelado
BP_HLCQN,1091669.43,2023-08-28,Completo
BP_FET37,7583419.14,2023-04-24,Proceso
BP_4IITN,1455510.78,2023-09-26,Completo
BP_0YE6D,8871333.0,2023-09-17,Cancelado
BP_2PUQO,9375720.0,2023-05-20,Cancelado
BP_14UOS,6263830.98,2023-04-21,Completo
BP_RLABD,5941751.0,2023-08-28,Completo
BP_4FE8U,1850440.63,2023-08-10,Completo
BP_C4S1T,6353537.89,2023-09-06,Proceso
BP_7TMJQ,1353987.89,2023-01-23,Completo
BP_R3DK4,2787663.08,2023-08-17,Proceso
BP_KNT80,1353090.51,2023-05-07,Cancelado
BP_FT5GH,5906244.3,2023-01-13,Proceso
BP_2DUGN,2887635.5,2023-04-28,Completo
BP_JFAUC,704085.75,2023-04-07,Completo
BP_9FZ52,1118400.85,2023-06-24,Proceso
BP_2N5OE,6853683.68,2023-09-20,Completo
BP_90JYD,1173151.25,2023-07-05,Completo
BP_OFBBS,1656650.42,2023-01-29,Proceso
BP_OM2CJ,2551516.03,2023-09-01,Completo
BP_ELU6N,1243540.18,2023-04-13,Proceso
BP_8G5XU,9535962.77,2023-07-20,Completo
BP_70XYO,1172359.67,2023-05-23,Cancelado
BP_JOKLC,4833311.3,2023-06-12,Completo
BP_DS3S8,4323963.19,2023-10-28,Completo
BP_5YAOB,2251607.5,2023-09-06,Completo
BP_48RQ7,4018361.58,2023-09-24,Proceso
BP_D6UHL,955308.48,2023-07-26,Completo
BP_IBDDS,466803.56,2023-06-29,Proceso
BP_3XCSC,5134757.5,2023-01-24,Completo
BP_Q3U72,1326193.06,2023-04-20,Cancelado
BP_8UYCC,1893526.33,2023-08-27,Completo
BP_OQT2T,1441081.25,2023-09-25,Completo
BP_9E5EZ,1129878.36,2023-01-02,Completo
BP_UT9GB,4823153.04,2023-01-10,Proceso
BP_GNPQI,7638434.52,2023-04-15,Proceso
BP_469IO,1074895.37,2023-09-03,Completo
